source_table,ods_table,business_area,data_domain,domain_name,source_kind,disposition,target_layer,target_table,grain,load_strategy,optional_module,confidence,sensitivity,rationale
acc_accounting_rule,ods_fineract_acc_accounting_rule,FMAN,FINA,总账与财务,master_or_reference,standalone_dimension,DIM,dim_accounting_rule,id,full_snapshot,False,human_reviewed,internal,Accounting rule is stable reference data with explicit office and GL roles.
acc_gl_account,ods_fineract_acc_gl_account,FMAN,FINA,总账与财务,master_or_reference,standalone_dimension,DIM,dim_gl_account,id,full_snapshot,False,human_reviewed,internal,GL account is a conformed hierarchical dimension.
acc_gl_closure,ods_fineract_acc_gl_closure,FMAN,FINA,总账与财务,master_or_reference,standalone_fact,DWD,dwd_gl_close_event,id,full_replay,False,human_reviewed,internal,Closing event is valid after replacing the invalid generated finance-management code.
acc_gl_financial_activity_account,ods_fineract_acc_gl_financial_activity_account,FMAN,FINA,总账与财务,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
acc_gl_journal_entry,ods_fineract_acc_gl_journal_entry,FMAN,FINA,总账与财务,event_or_relation,standalone_fact,DWD,dwd_gl_journal_entry,id,full_replay,False,human_reviewed,internal,Source is the authoritative journal-line fact with explicit GL and source-transaction roles.
acc_gl_journal_entry_annual_summary,ods_fineract_acc_gl_journal_entry_annual_summary,FMAN,FINA,总账与财务,event_or_relation,snapshot_source,DWD,dwd_gl_annual_balance_snapshot,"gl_code, product_id, office_id, currency_code, owner_external_id, manual_entry, year_end_date",full_replay,False,human_reviewed,internal,Annual snapshot is valid but semantic grain must replace the generated surrogate-id grain.
acc_product_mapping,ods_fineract_acc_product_mapping,FMAN,FINA,总账与财务,master_or_reference,standalone_dimension,DIM,bridge_product_gl_mapping,id,full_snapshot,False,human_reviewed,internal,"Source is accounting configuration, not a transaction fact."
acc_rule_tags,ods_fineract_acc_rule_tags,FMAN,FINA,总账与财务,master_or_reference,rule_reference,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
batch_custom_job_parameters,ods_fineract_batch_custom_job_parameters,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含秘密、认证信息或高风险自由文本，仅保留受限 ODS，禁止进入普通分析层。
c_account_number_format,ods_fineract_c_account_number_format,OTHR,REFR,公共参考与元数据,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
c_cache,ods_fineract_c_cache,OTHR,OPER,平台运营与安全,technical,operational_only,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
c_configuration,ods_fineract_c_configuration,OTHR,REFR,公共参考与元数据,technical,operational_only,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
c_external_service,ods_fineract_c_external_service,OTHR,OTHR,其它银行运营,technical,operational_only,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
c_external_service_properties,ods_fineract_c_external_service_properties,OTHR,OTHR,其它银行运营,technical,security_excluded,NONE,,source row,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
glim_accounts,ods_fineract_glim_accounts,LOAN,LOAN,贷款与信贷,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,restricted,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
gsim_accounts,ods_fineract_gsim_accounts,DPST,DPST,存款与储蓄,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,restricted,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
interop_identifier,ods_fineract_interop_identifier,PAYM,PAYM,支付结算,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
job,ods_fineract_job,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
job_parameters,ods_fineract_job_parameters,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含秘密、认证信息或高风险自由文本，仅保留受限 ODS，禁止进入普通分析层。
job_run_history,ods_fineract_job_run_history,OTHR,OPER,平台运营与安全,technical,operational_only,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_account_transfer_details,ods_fineract_m_account_transfer_details,PAYM,PAYM,支付结算,event_or_relation,bridge_source,DWD,dwd_account_transfer_instruction,id,full_replay,False,human_reviewed,restricted,"Source is the transfer header and endpoint relationship, not the dated transfer transaction."
m_account_transfer_standing_instructions,ods_fineract_m_account_transfer_standing_instructions,PAYM,PAYM,支付结算,event_or_relation,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_account_transfer_standing_instructions_history,ods_fineract_m_account_transfer_standing_instructions_history,PAYM,PAYM,支付结算,event_or_relation,standalone_fact,DWD,dwd_standing_instruction_event,id,full_replay,False,human_reviewed,restricted,"Source records each instruction execution with status, amount and error context."
m_account_transfer_transaction,ods_fineract_m_account_transfer_transaction,PAYM,PAYM,支付结算,event_or_relation,standalone_fact,DWD,dwd_account_transfer_transaction,id,full_replay,False,human_reviewed,restricted,Source has a dated monetary transfer event and links both ledger-side transactions.
m_address,ods_fineract_m_address,CLNT,CUST,客户与参与方,master_or_reference,standalone_dimension,DIM,dim_address,id,full_snapshot,False,human_reviewed,restricted,Address is reusable party reference data but must remain PII protected.
m_adhoc,ods_fineract_m_adhoc,OTHR,OTHR,其它银行运营,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_appuser,ods_fineract_m_appuser,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_appuser_previous_password,ods_fineract_m_appuser_previous_password,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_appuser_role,ods_fineract_m_appuser_role,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,"appuser_id, role_id",ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_batch_business_steps,ods_fineract_m_batch_business_steps,OTHR,OTHR,其它银行运营,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_business_date,ods_fineract_m_business_date,OTHR,OPER,平台运营与安全,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_calendar,ods_fineract_m_calendar,CHNL,CHNL,渠道与客户服务,master_or_reference,standalone_dimension,DIM,dim_meeting_calendar,id,full_snapshot,False,human_reviewed,internal,"Source represents recurring meetings and events, not the bank working-day calendar."
m_calendar_history,ods_fineract_m_calendar_history,CHNL,CHNL,渠道与客户服务,event_or_relation,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_calendar_instance,ods_fineract_m_calendar_instance,CHNL,CHNL,渠道与客户服务,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_cashier_transactions,ods_fineract_m_cashier_transactions,PAYM,PAYM,支付结算,event_or_relation,standalone_fact,DWD,dwd_cashier_transaction,id,full_replay,False,human_reviewed,internal,Source is a dated cashier-level monetary transaction.
m_cashiers,ods_fineract_m_cashiers,PAYM,PAYM,支付结算,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_charge,ods_fineract_m_charge,OTHR,PROD,产品、定价与税费,master_or_reference,standalone_dimension,DIM,dim_charge_definition,id,full_snapshot,False,human_reviewed,internal,"Source is a complete charge definition, not merely a charge type code."
m_client,ods_fineract_m_client,CLNT,CUST,客户与参与方,master_or_reference,standalone_dimension,DIM,dim_customer,id,full_snapshot,False,human_reviewed,restricted,Customer remains a conformed dimension but requires SCD2 and PII controls.
m_client_address,ods_fineract_m_client_address,CLNT,CUST,客户与参与方,master_or_reference,bridge_source,DWD,bridge_customer_address,id,full_replay,False,human_reviewed,restricted,Source is a relationship bridge and lacks an effective-date history.
m_client_attendance,ods_fineract_m_client_attendance,CLNT,CUST,客户与参与方,event_or_relation,standalone_fact,DWD,dwd_group_meeting_attendance,id,full_replay,False,human_reviewed,restricted,Attendance must join the meeting/calendar chain to acquire a business date.
m_client_charge,ods_fineract_m_client_charge,CLNT,CUST,客户与参与方,master_or_reference,snapshot_source,DWD,dwd_client_charge,id,full_replay,False,human_reviewed,restricted,"Amount paid, waived, written off and outstanding describe an accumulating receivable."
m_client_charge_paid_by,ods_fineract_m_client_charge_paid_by,CLNT,CUST,客户与参与方,event_or_relation,standalone_fact,DWD,dwd_client_charge_allocation,"client_charge_id, client_transaction_id, id",full_replay,False,human_reviewed,restricted,Allocation requires its parent client transaction to supply event date and customer context.
m_client_collateral_management,ods_fineract_m_client_collateral_management,LOAN,LOAN,贷款与信贷,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_client_identifier,ods_fineract_m_client_identifier,CLNT,CUST,客户与参与方,master_or_reference,bridge_source,NONE,,id,ods_full_snapshot,False,candidate,restricted,经人工复核不应直接生成分析事实；保留受控 ODS，并按明确的规则、关系或运维用途参与后续模型设计。
m_client_non_person,ods_fineract_m_client_non_person,CLNT,CUST,客户与参与方,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,restricted,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_client_transaction,ods_fineract_m_client_transaction,CLNT,CUST,客户与参与方,event_or_relation,standalone_fact,DWD,dwd_client_transaction,id,full_replay,False,human_reviewed,restricted,"Source has a dated customer transaction, amount and reversal semantics."
m_client_transfer_details,ods_fineract_m_client_transfer_details,CLNT,CUST,客户与参与方,event_or_relation,snapshot_source,DWD,dwd_customer_transfer_event,id,full_replay,False,human_reviewed,restricted,Source records a customer transfer lifecycle with endpoint offices and status dates.
m_code,ods_fineract_m_code,OTHR,REFR,公共参考与元数据,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_code_value,ods_fineract_m_code_value,OTHR,REFR,公共参考与元数据,master_or_reference,standalone_dimension,DIM,dim_code_value,"code_id, id",full_snapshot,False,human_reviewed,internal,Code-set context is required to interpret repeated labels and values safely.
m_collateral_management,ods_fineract_m_collateral_management,LOAN,LOAN,贷款与信贷,master_or_reference,standalone_dimension,DIM,dim_collateral_type,id,full_snapshot,False,human_reviewed,internal,Customer-owned collateral is a separate source; this table is a type and valuation catalog.
m_command,ods_fineract_m_command,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_creditbureau,ods_fineract_m_creditbureau,LOAN,LOAN,贷款与信贷,master_or_reference,standalone_dimension,DIM,dim_credit_bureau,id,full_snapshot,False,human_reviewed,internal,Credit bureau is stable reference data independent of restricted report payloads.
m_creditbureau_configuration,ods_fineract_m_creditbureau_configuration,LOAN,LOAN,贷款与信贷,master_or_reference,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_creditbureau_loanproduct_mapping,ods_fineract_m_creditbureau_loanproduct_mapping,LOAN,LOAN,贷款与信贷,event_or_relation,bridge_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_creditbureau_token,ods_fineract_m_creditbureau_token,LOAN,LOAN,贷款与信贷,master_or_reference,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_creditreport,ods_fineract_m_creditreport,LOAN,LOAN,贷款与信贷,master_or_reference,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_currency,ods_fineract_m_currency,OTHR,PROD,产品、定价与税费,master_or_reference,standalone_dimension,DIM,dim_currency,code,full_snapshot,False,human_reviewed,internal,Currency is a conformed reference dimension keyed by business code.
m_delinquency_bucket,ods_fineract_m_delinquency_bucket,LOAN,LOAN,贷款与信贷,master_or_reference,standalone_dimension,DIM,dim_delinquency_bucket,id,full_snapshot,False,human_reviewed,internal,Delinquency bucket is stable loan-risk reference data.
m_delinquency_bucket_mappings,ods_fineract_m_delinquency_bucket_mappings,LOAN,LOAN,贷款与信贷,event_or_relation,bridge_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_delinquency_range,ods_fineract_m_delinquency_range,LOAN,LOAN,贷款与信贷,master_or_reference,standalone_dimension,DIM,dim_delinquency_range,id,full_snapshot,False,human_reviewed,internal,Delinquency range is stable classification reference data.
m_deposit_account_on_hold_transaction,ods_fineract_m_deposit_account_on_hold_transaction,DPST,DPST,存款与储蓄,event_or_relation,standalone_fact,DWD,dwd_deposit_hold_event,id,full_replay,False,human_reviewed,restricted,Dated hold event is valid after replacing the generated invalid process code.
m_deposit_account_recurring_detail,ods_fineract_m_deposit_account_recurring_detail,DPST,DPST,存款与储蓄,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_deposit_account_term_and_preclosure,ods_fineract_m_deposit_account_term_and_preclosure,DPST,DPST,存款与储蓄,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_deposit_product_interest_rate_chart,ods_fineract_m_deposit_product_interest_rate_chart,DPST,DPST,存款与储蓄,master_or_reference,component_source,NONE,,source row,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_deposit_product_recurring_detail,ods_fineract_m_deposit_product_recurring_detail,DPST,DPST,存款与储蓄,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_deposit_product_term_and_preclosure,ods_fineract_m_deposit_product_term_and_preclosure,DPST,DPST,存款与储蓄,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_document,ods_fineract_m_document,CHNL,CHNL,渠道与客户服务,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,restricted,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_entity_datatable_check,ods_fineract_m_entity_datatable_check,OTHR,REFR,公共参考与元数据,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_entity_relation,ods_fineract_m_entity_relation,OTHR,REFR,公共参考与元数据,event_or_relation,bridge_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_entity_to_entity_access,ods_fineract_m_entity_to_entity_access,OTHR,REFR,公共参考与元数据,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_entity_to_entity_mapping,ods_fineract_m_entity_to_entity_mapping,OTHR,REFR,公共参考与元数据,event_or_relation,bridge_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_external_asset_owner,ods_fineract_m_external_asset_owner,ASTM,INVS,投资、份额与资产持有,master_or_reference,standalone_dimension,DIM,dim_asset_owner,id,full_snapshot,True,human_reviewed,internal,External asset owner is a durable counterparty dimension.
m_external_asset_owner_journal_entry_mapping,ods_fineract_m_external_asset_owner_journal_entry_mapping,FMAN,FINA,总账与财务,event_or_relation,bridge_source,DWD,bridge_asset_owner_gl_entry,id,full_replay,False,human_reviewed,internal,This is a factless ownership-to-ledger bridge and inherits the journal business date.
m_external_asset_owner_loan_product_configurable_attributes,ods_fineract_m_external_asset_owner_loan_product_config_11bc4520,LOAN,LOAN,贷款与信贷,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_external_asset_owner_transfer,ods_fineract_m_external_asset_owner_transfer,ASTM,INVS,投资、份额与资产持有,event_or_relation,snapshot_source,DWD,dwd_loan_ownership_transfer,id,full_replay,True,human_reviewed,restricted,"Transfer header has clear loan, owner, effective period and settlement semantics."
m_external_asset_owner_transfer_details,ods_fineract_m_external_asset_owner_transfer_details,ASTM,INVS,投资、份额与资产持有,event_or_relation,standalone_fact,DWD,dwd_loan_ownership_transfer_detail,"asset_owner_transfer_id, id",full_replay,True,human_reviewed,restricted,"Detail must join its transfer header to obtain loan, owner and effective date context."
m_external_asset_owner_transfer_journal_entry_mapping,ods_fineract_m_external_asset_owner_transfer_journal_en_0adfde70,FMAN,FINA,总账与财务,event_or_relation,bridge_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_external_asset_owner_transfer_loan_mapping,ods_fineract_m_external_asset_owner_transfer_loan_mapping,LOAN,LOAN,贷款与信贷,event_or_relation,bridge_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_external_event,ods_fineract_m_external_event,OTHR,OPER,平台运营与安全,event_or_relation,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_external_event_configuration,ods_fineract_m_external_event_configuration,OTHR,OPER,平台运营与安全,master_or_reference,rule_reference,NONE,,type,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_family_members,ods_fineract_m_family_members,CLNT,CUST,客户与参与方,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,restricted,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_field_configuration,ods_fineract_m_field_configuration,OTHR,REFR,公共参考与元数据,master_or_reference,rule_reference,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_floating_rates,ods_fineract_m_floating_rates,OTHR,PROD,产品、定价与税费,master_or_reference,standalone_dimension,DIM,dim_rate_index,id,full_snapshot,False,human_reviewed,internal,Header identifies the index; dated rate observations must be modeled from the period source.
m_floating_rates_periods,ods_fineract_m_floating_rates_periods,OTHR,PROD,产品、定价与税费,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_fund,ods_fineract_m_fund,CHNL,ORGN,机构与员工,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_group,ods_fineract_m_group,CLNT,CUST,客户与参与方,master_or_reference,standalone_dimension,DIM,dim_customer_group,id,full_snapshot,False,human_reviewed,restricted,Group hierarchy and operating assignment require effective-version semantics.
m_group_client,ods_fineract_m_group_client,CLNT,CUST,客户与参与方,master_or_reference,bridge_source,DWD,bridge_group_customer,"group_id, client_id",full_replay,False,human_reviewed,restricted,Composite grain is correct but the object is a membership bridge without effective history.
m_group_level,ods_fineract_m_group_level,CLNT,CUST,客户与参与方,master_or_reference,standalone_dimension,DIM,dim_customer_group_level,id,full_snapshot,False,human_reviewed,internal,Group level is a stable hierarchical reference dimension.
m_group_roles,ods_fineract_m_group_roles,CLNT,CUST,客户与参与方,master_or_reference,bridge_source,DWD,bridge_group_customer_role,id,full_replay,False,human_reviewed,restricted,This is a typed relationship bridge and replaces the invalid generated customer process code.
m_guarantor,ods_fineract_m_guarantor,LOAN,LOAN,贷款与信贷,master_or_reference,bridge_source,DWD,dwd_loan_guarantor_relation,id,full_replay,False,human_reviewed,restricted,Source duplicates loan-specific PII and is not a deduplicated conformed guarantor dimension.
m_guarantor_funding_details,ods_fineract_m_guarantor_funding_details,LOAN,LOAN,贷款与信贷,master_or_reference,snapshot_source,DWD,dwd_guarantee_commitment_snapshot,id,full_replay,False,human_reviewed,restricted,Amount fields describe current cumulative commitment state and need an explicit snapshot date.
m_guarantor_transaction,ods_fineract_m_guarantor_transaction,LOAN,LOAN,贷款与信贷,event_or_relation,bridge_source,DWD,bridge_guarantee_transaction,id,full_replay,False,human_reviewed,restricted,Source has no amount or date and is a three-way transactional bridge.
